MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT,MONTH_DATE,PAID_AMOUNT_LOG
201801,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer S,6525,2018-01-01,8.783396232190894
201801,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer W,2383,2018-01-01,7.776115477098742
201801,AncillaryFFS,DURABLE MEDICAL SUPPLY,Payer UN,700,2018-01-01,6.551080335043404
201801,AncillaryFFS,EMERGENCY MEDICINE,Payer F,2828,2018-01-01,7.947325027016463
201801,AncillaryFFS,EMERGENCY MEDICINE,Payer O,1509,2018-01-01,7.319202458767849
201801,AncillaryFFS,EMERGENCY MEDICINE,Payer UN,60,2018-01-01,4.0943445622221
201801,AncillaryFFS,EMERGENCY ROOM,Payer CA,90,2018-01-01,4.499809670330265
201801,AncillaryFFS,EMERGENCY ROOM,Payer W,1878,2018-01-01,7.537962659768208
201801,AncillaryFFS,END-STAGE RENAL DISEASE (ESRD) TREATMENT,Payer S,500,2018-01-01,6.214608098422191
201801,AncillaryFFS,ENDOCRINOLOGY,Payer F,1137,2018-01-01,7.036148493750536
201801,AncillaryFFS,ENDOCRINOLOGY,Payer O,342,2018-01-01,5.834810737062605
201801,AncillaryFFS,ENT,Payer W,106,2018-01-01,4.663439094112067
201801,AncillaryFFS,FAMILY NURSE PRACTIONER,Payer CA,133,2018-01-01,4.890349128221754
201801,AncillaryFFS,FAMILY PRACTICE,Payer CA,553,2018-01-01,6.315358001522335
201801,AncillaryFFS,FAMILY PRACTICE,Payer F,9315,2018-01-01,9.13938128303569
201801,AncillaryFFS,FAMILY PRACTICE,Payer O,1381,2018-01-01,7.2305631534092925
201801,AncillaryFFS,FAMILY PRACTICE,Payer S,506,2018-01-01,6.226536669287466
201801,AncillaryFFS,FAMILY PRACTICE,Payer UN,38,2018-01-01,3.6375861597263857
201801,AncillaryFFS,FAMILY PRACTICE,Payer W,1484,2018-01-01,7.302496423727326
201801,AncillaryFFS,FITNESS,Payer S,857,2018-01-01,6.75343791859778
201801,AncillaryFFS,FQHC,Payer W,941,2018-01-01,6.846943139585379
201801,AncillaryFFS,GASTROENTEROLOGY,Payer CA,348,2018-01-01,5.8522024797744745
201801,AncillaryFFS,GASTROENTEROLOGY,Payer F,820,2018-01-01,6.709304340258298
201801,AncillaryFFS,GENERAL PRACTICE,Payer CA,1780,2018-01-01,7.484368643286131
201801,AncillaryFFS,GENERAL PRACTICE,Payer F,2702,2018-01-01,7.9017475185201445
201801,AncillaryFFS,GENERAL PRACTICE,Payer O,2116,2018-01-01,7.65728279297819
201801,AncillaryFFS,GENERAL PRACTICE,Payer UN,188,2018-01-01,5.236441962829949
201801,AncillaryFFS,GENERAL PRACTICE,Payer W,388,2018-01-01,5.961005339623274
201801,AncillaryFFS,GENERAL SURGERY,Payer CA,470,2018-01-01,6.152732694704104
201801,AncillaryFFS,GENERAL SURGERY,Payer F,464,2018-01-01,6.139884552226255
201801,AncillaryFFS,GENERAL SURGERY,Payer O,60,2018-01-01,4.0943445622221
201801,AncillaryFFS,GENERAL SURGERY,Payer UN,15,2018-01-01,2.70805020110221
201801,AncillaryFFS,GENERAL SURGERY,Payer W,562,2018-01-01,6.331501849893691
201801,AncillaryFFS,GERIATRIC MEDICINE,Payer UN,201,2018-01-01,5.303304908059076
201801,AncillaryFFS,GERIATRICS,Payer B,203,2018-01-01,5.313205979041787
201801,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer CA,123,2018-01-01,4.812184355372417
201801,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer CO,221,2018-01-01,5.3981627015177525
201801,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer F,1252,2018-01-01,7.132497551660044
201801,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer O,196,2018-01-01,5.278114659230517
201801,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer S,147,2018-01-01,4.990432586778736
201801,AncillaryFFS,HOME DELIVERED MEALS,Payer S,117,2018-01-01,4.762173934797756
201801,AncillaryFFS,HOME HEALTH,Payer F,66053,2018-01-01,11.098212729055268
201801,AncillaryFFS,HOME HEALTH,Payer O,15277,2018-01-01,9.634103708365723
201801,AncillaryFFS,HOME HEALTH AGENCY,Payer CO,1510,2018-01-01,7.31986492980897
201801,AncillaryFFS,HOME HEALTH AGENCY,Payer W,6134,2018-01-01,8.721602344674197
201801,AncillaryFFS,HOME HEALTH CARE,Payer CA,2276,2018-01-01,7.730174795246222
201801,AncillaryFFS,HOME HEALTH CARE,Payer UN,2125,2018-01-01,7.661527081358517
201801,AncillaryFFS,HOME HEALTH CENTER,Payer H,13068,2018-01-01,9.477921772720961
201801,AncillaryFFS,HOS/ANCILLARY,Payer F,347,2018-01-01,5.849324779946859
201801,AncillaryFFS,HOS/ANCILLARY,Payer O,498,2018-01-01,6.210600077024653
201801,AncillaryFFS,HOSPICE,Payer F,859,2018-01-01,6.755768921984255
201801,AncillaryFFS,HOSPITAL,Payer CA,494,2018-01-01,6.202535517187923
201801,AncillaryFFS,HOSPITAL,Payer F,437,2018-01-01,6.07993319509559
201801,AncillaryFFS,HOSPITAL,Payer UN,68,2018-01-01,4.219507705176107
201801,AncillaryFFS,HOSPITAL,Payer W,48469,2018-01-01,10.788679697308252
201801,AncillaryFFS,HOSPITALIST,Payer CO,638,2018-01-01,6.45833828334479
201801,AncillaryFFS,HOSPITALIST,Payer F,501,2018-01-01,6.2166061010848646
201801,AncillaryFFS,HOSPITALIST,Payer W,234,2018-01-01,5.455321115357702
201801,AncillaryFFS,HYPERBARIC MEDICINE,Payer S,2047,2018-01-01,7.624130585661289
201801,AncillaryFFS,INDEPENDENT LAB,Payer F,5663,2018-01-01,8.641709066113805
201801,AncillaryFFS,INDEPENDENT LAB,Payer H,1241,2018-01-01,7.123672785204607
201801,AncillaryFFS,INDEPENDENT LAB,Payer O,5743,2018-01-01,8.655737000864297
201801,AncillaryFFS,INFECTIOUS DISEASE,Payer F,906,2018-01-01,6.80903930604298
201801,AncillaryFFS,INFECTIOUS DISEASE,Payer O,323,2018-01-01,5.777652323222656
201801,AncillaryFFS,INFECTIOUS DISEASES,Payer CA,667,2018-01-01,6.502790045915623
201801,AncillaryFFS,INFUSION CARE,Payer W,805,2018-01-01,6.690842277418564
201801,AncillaryFFS,INFUSION PROVIDER,Payer O,887,2018-01-01,6.787844982309579
201801,AncillaryFFS,INTERNAL MEDICINE,Payer CA,1768,2018-01-01,7.477604243197589
201801,AncillaryFFS,INTERNAL MEDICINE,Payer F,2615,2018-01-01,7.869019376499023
201801,AncillaryFFS,INTERNAL MEDICINE,Payer O,1041,2018-01-01,6.947937068614969
201801,AncillaryFFS,INTERNAL MEDICINE,Payer S,415,2018-01-01,6.028278520230698
201801,AncillaryFFS,INTERNAL MEDICINE,Payer UN,530,2018-01-01,6.272877006546167
201801,AncillaryFFS,INTERNAL MEDICINE,Payer W,885,2018-01-01,6.785587645007929
201801,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer F,29,2018-01-01,3.367295829986474
201801,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer O,458,2018-01-01,6.126869184114185
201801,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer W,72,2018-01-01,4.276666119016055
201801,AncillaryFFS,LABORATORY,Payer CA,13529,2018-01-01,9.51259080860336
201801,AncillaryFFS,LABORATORY,Payer CO,734,2018-01-01,6.598509028614515
201801,AncillaryFFS,LABORATORY,Payer S,1030,2018-01-01,6.937314081223682
201801,AncillaryFFS,LABORATORY,Payer UN,4148,2018-01-01,8.330381569349418
201801,AncillaryFFS,LABORATORY,Payer W,5276,2018-01-01,8.570923513837204
201801,AncillaryFFS,LABS(CLINICAL),Payer B,2292,2018-01-01,7.73718007783463
201801,AncillaryFFS,MEDICAL DOCTOR,Payer H,2642,2018-01-01,7.879291485082271
201801,AncillaryFFS,MEDICAL SUPPLIER (DME),Payer F,30869,2018-01-01,10.337507723061567
201801,AncillaryFFS,MEDICAL SUPPLIER (DME),Payer O,5136,2018-01-01,8.544029845369797
201801,AncillaryFFS,MENTAL HEALTH,Payer W,77,2018-01-01,4.343805421853684
201801,AncillaryFFS,MHH,Payer W,544,2018-01-01,6.298949246855942
201801,AncillaryFFS,MINI CLINIC,Payer B,139,2018-01-01,4.9344739331306915
201801,AncillaryFFS,MOBIL,Payer W,121,2018-01-01,4.795790545596741
201801,AncillaryFFS,MOBILE DIAGNOSTIC,Payer CA,308,2018-01-01,5.730099782973574
201801,AncillaryFFS,NEPHROLOGY,Payer CA,427,2018-01-01,6.056784013228625
201801,AncillaryFFS,NEPHROLOGY,Payer CO,562,2018-01-01,6.331501849893691
201801,AncillaryFFS,NEPHROLOGY,Payer F,2336,2018-01-01,7.756195343948118
201801,AncillaryFFS,NEPHROLOGY,Payer O,603,2018-01-01,6.401917196727186
201801,AncillaryFFS,NEPHROLOGY,Payer S,337,2018-01-01,5.820082930352362
201801,AncillaryFFS,NEPHROLOGY,Payer W,2401,2018-01-01,7.783640596221253
201801,AncillaryFFS,NEUROLOGICAL SURGERY,Payer CA,119,2018-01-01,4.77912349311153
201801,AncillaryFFS,NEUROLOGY,Payer CA,1558,2018-01-01,7.351158226430694
201801,AncillaryFFS,NEUROSURGERY,Payer F,2069,2018-01-01,7.634820677745543
201801,AncillaryFFS,NON-EMERGENCY TRANSPORTATION,Payer S,662,2018-01-01,6.495265555937008
201801,AncillaryFFS,NOTPROVIDED,Payer B,717,2018-01-01,6.57507584059962
201801,AncillaryFFS,NURSE PRACTITIONER,Payer CA,408,2018-01-01,6.0112671744041615
201801,AncillaryFFS,NURSE PRACTITIONER,Payer CO,430,2018-01-01,6.063785208687608
201801,AncillaryFFS,NURSE PRACTITIONERS,Payer H,828,2018-01-01,6.71901315438526
201801,AncillaryFFS,OBSTETRICS & GYNECOLOGY,Payer O,80,2018-01-01,4.382026634673881
201801,AncillaryFFS,OBSTETRICS & GYNECOLOGY,Payer W,57,2018-01-01,4.04305126783455
201801,AncillaryFFS,ONCOLOGY,Payer O,219,2018-01-01,5.389071729816501
201801,AncillaryFFS,OPHTHALMOLOGY,Payer CA,273,2018-01-01,5.60947179518496
201801,AncillaryFFS,OPTHALMOLOGY,Payer UN,336,2018-01-01,5.817111159963204
201801,AncillaryFFS,ORTHOPEDIC,Payer CA,155,2018-01-01,5.043425116919247
201801,AncillaryFFS,ORTHOPEDIC SURGERY,Payer CA,613,2018-01-01,6.418364935936212
201801,AncillaryFFS,ORTHOPEDIC SURGERY,Payer F,953,2018-01-01,6.859614903654202
201801,AncillaryFFS,ORTHOPEDIC SURGERY,Payer O,190,2018-01-01,5.247024072160486
201801,AncillaryFFS,ORTHOPEDIC SURGERY,Payer UN,232,2018-01-01,5.44673737166631
201801,AncillaryFFS,ORTHOPEDICS,Payer F,35,2018-01-01,3.5553480614894135
201801,AncillaryFFS,ORTHOTICS/PROSTHETICS,Payer CA,4321,2018-01-01,8.371242135931933
201801,AncillaryFFS,ORTHOTICS/PROSTHETICS,Payer CO,119,2018-01-01,4.77912349311153
201801,AncillaryFFS,ORTHOTICS/PROSTHETICS,Payer W,2123,2018-01-01,7.660585461703256
201801,AncillaryFFS,OSTEOPATH,Payer H,1200,2018-01-01,7.090076835776092
201801,AncillaryFFS,OTHER,Payer CA,1124,2018-01-01,7.024649030453636
201801,AncillaryFFS,OTHERS,Payer F,768,2018-01-01,6.643789733147672
201801,AncillaryFFS,OTHERS,Payer O,160,2018-01-01,5.075173815233827
201801,AncillaryFFS,OUT OF COUNTRY PROVIDER,Payer F,504,2018-01-01,6.222576268071369
201801,AncillaryFFS,PAIN MANAGEMENT,Payer CA,239,2018-01-01,5.476463551931511
201801,AncillaryFFS,PAIN MANAGEMENT,Payer UN,41,2018-01-01,3.713572066704308
201801,AncillaryFFS,PAIN MANAGEMENT,Payer W,742,2018-01-01,6.60934924316738
201801,AncillaryFFS,PATHOLOGY,Payer CA,384,2018-01-01,5.950642552587727
201801,AncillaryFFS,PATHOLOGY,Payer CO,1709,2018-01-01,7.443663683115591
201801,AncillaryFFS,PATHOLOGY,Payer F,903,2018-01-01,6.805722553416985
201801,AncillaryFFS,PATHOLOGY,Payer O,924,2018-01-01,6.828712071641684
201801,AncillaryFFS,PATHOLOGY,Payer UN,2006,2018-01-01,7.603897968521881
201801,AncillaryFFS,PATHOLOGY - ANATOMIC PATHOLOGY & CLINICAL PATHOLOG,Payer S,494,2018-01-01,6.202535517187923
201801,AncillaryFFS,PCS,Payer W,82,2018-01-01,4.406719247264253
201801,AncillaryFFS,PEDIATRICS,Payer CA,82,2018-01-01,4.406719247264253
201801,AncillaryFFS,PEDIATRICS,Payer F,580,2018-01-01,6.363028103540465
201801,AncillaryFFS,PEDIATRICS,Payer O,573,2018-01-01,6.35088571671474
201801,AncillaryFFS,PERSONAL EMERGENCY RESPONSE SYSTEM,Payer S,42,2018-01-01,3.7376696182833684
201801,AncillaryFFS,PHARMACY,Payer B,139,2018-01-01,4.9344739331306915
201801,AncillaryFFS,PHYS MEDICINE REHAB,Payer F,1133,2018-01-01,7.0326242610280065
201801,AncillaryFFS,PHYS MEDICINE REHAB,Payer O,2164,2018-01-01,7.679713639966372
201801,AncillaryFFS,PHYSICAL MEDICINE & REHAB,Payer CA,572,2018-01-01,6.349138991379798
201801,AncillaryFFS,PHYSICAL THERAPY,Payer CA,713,2018-01-01,6.569481420414296
201801,AncillaryFFS,PHYSICAL THERAPY,Payer UN,288,2018-01-01,5.662960480135946
201801,AncillaryFFS,PHYSICIAN ASSISTANT,Payer H,853,2018-01-01,6.748759547491679
201801,AncillaryFFS,PHYSICIAN ASSISTANT,Payer S,167,2018-01-01,5.117993812416755
201801,AncillaryFFS,PLASTIC SURGERY,Payer CA,277,2018-01-01,5.6240175061873385
201801,AncillaryFFS,PODIATRIST,Payer S,355,2018-01-01,5.872117789475416
201801,AncillaryFFS,PODIATRIST,Payer H,1795,2018-01-01,7.492760300922379
201801,AncillaryFFS,PODIATRIST - FOOT SURGERY,Payer S,182,2018-01-01,5.204006687076795
201801,AncillaryFFS,PODIATRY,Payer CA,967,2018-01-01,6.874198495453294
201801,AncillaryFFS,PODIATRY,Payer CO,199,2018-01-01,5.293304824724492
201801,AncillaryFFS,PODIATRY,Payer F,1273,2018-01-01,7.149131598557407
201801,AncillaryFFS,PODIATRY,Payer O,462,2018-01-01,6.135564891081739
201801,AncillaryFFS,PODIATRY,Payer UN,16,2018-01-01,2.772588722239781
201801,AncillaryFFS,PODIATRY,Payer W,265,2018-01-01,5.579729825986222
201801,AncillaryFFS,PREVENTIVE MEDICINE,Payer F,377,2018-01-01,5.932245187448011
201801,AncillaryFFS,PREVENTIVE MEDICINE,Payer O,104,2018-01-01,4.6443908991413725
201801,AncillaryFFS,PROSTHETIC & ORTHOTICS,Payer F,4347,2018-01-01,8.377241230988792
201801,AncillaryFFS,PROSTHETIC & ORTHOTICS,Payer O,937,2018-01-01,6.842683282238422
201801,AncillaryFFS,PROSTHETICS AND ORTHOTICS,Payer S,575,2018-01-01,6.354370040797351
201801,AncillaryFFS,PROV RURAL HEALTH,Payer F,482,2018-01-01,6.1779441140506
201801,AncillaryFFS,PROV RURAL HEALTH,Payer O,256,2018-01-01,5.545177444479562
201801,AncillaryFFS,PROV TYPE INVALID,Payer H,64,2018-01-01,4.1588830833596715
201801,AncillaryFFS,PSYCH HOSPITAL,Payer W,2304,2018-01-01,7.742402021815782
201801,AncillaryFFS,PSYCHIATRY,Payer W,1843,2018-01-01,7.519149957669823
201801,AncillaryFFS,PSYCHOLOGY,Payer W,450,2018-01-01,6.1092475827643655
201801,AncillaryFFS,PUBL,Payer CO,42,2018-01-01,3.7376696182833684
201801,AncillaryFFS,PULMONARY DISEASE,Payer F,919,2018-01-01,6.823286122355687
201801,AncillaryFFS,PULMONARY DISEASE,Payer O,14,2018-01-01,2.6390573296152584
201801,AncillaryFFS,PULMONARY DISEASES,Payer CA,132,2018-01-01,4.882801922586371
201801,AncillaryFFS,PULMONARY DISEASES,Payer W,815,2018-01-01,6.703188113240863
201801,AncillaryFFS,RADIATION ONCOLOGY,Payer CA,651,2018-01-01,6.478509642208569
201801,AncillaryFFS,RADIATION ONCOLOGY,Payer CO,835,2018-01-01,6.727431724850855
201801,AncillaryFFS,RADIATION ONCOLOGY,Payer F,592,2018-01-01,6.3835066348840055
201801,AncillaryFFS,RADIOLOGY,Payer F,542,2018-01-01,6.295266001439646
201801,AncillaryFFS,RADIOLOGY,Payer O,326,2018-01-01,5.786897381366708
201801,AncillaryFFS,RADIOLOGY,Payer UN,5414,2018-01-01,8.596743470174246
201801,AncillaryFFS,RADIOLOGY,Payer W,262,2018-01-01,5.568344503761097
201801,AncillaryFFS,RADIOLOGY (DIAGNOSTIC),Payer UN,196,2018-01-01,5.278114659230517
201801,AncillaryFFS,RADIOLOGY - DIAGNOSTIC,Payer S,52,2018-01-01,3.9512437185814275
201801,AncillaryFFS,RADIOLOGY IMAGING PROVIDER,Payer F,927,2018-01-01,6.831953565565855
201801,AncillaryFFS,RADIOLOGY IMAGING PROVIDER,Payer O,537,2018-01-01,6.285998094508865
201801,AncillaryFFS,REHABILITATION HOSPITAL,Payer B,45,2018-01-01,3.8066624897703196
201801,AncillaryFFS,RENAL DIALYSIS FACILITY,Payer F,55789,2018-01-01,10.929331996319727
201801,AncillaryFFS,RENAL DIALYSIS FACILITY,Payer O,5560,2018-01-01,8.623353387244627
201801,AncillaryFFS,SKILLED NURSING FACILITY,Payer CA,1248,2018-01-01,7.129297548929373
201801,AncillaryFFS,SKILLED NURSING FACILITY,Payer W,6201,2018-01-01,8.732465848349879
201801,AncillaryFFS,SLEEP CENTER,Payer CA,718,2018-01-01,6.576469569048224
201801,AncillaryFFS,SLEEP CENTER,Payer W,2112,2018-01-01,7.655390644826152
201801,AncillaryFFS,SLEEP DIAGNOSTIC FACILITY,Payer F,1703,2018-01-01,7.440146680662688
201801,AncillaryFFS,SLEEP DIAGNOSTIC FACILITY,Payer O,360,2018-01-01,5.886104031450156
201801,AncillaryFFS,SLEEP MEDICINE,Payer S,349,2018-01-01,5.855071922202427
201801,AncillaryFFS,SPC FCLY/CA HOSPITAL,Payer F,663,2018-01-01,6.4967749901858625
201801,AncillaryFFS,SPECIAL SERVICES,Payer H,5240,2018-01-01,8.564076777315087
201801,AncillaryFFS,SUBST,Payer W,503,2018-01-01,6.220590170099739
201801,AncillaryFFS,SURGERY (VASCULAR),Payer UN,316,2018-01-01,5.755742213586912
201801,AncillaryFFS,SURGICAL ONCOLOGY,Payer CA,319,2018-01-01,5.765191102784844
201801,AncillaryFFS,THERR,Payer CO,310,2018-01-01,5.736572297479192
201801,AncillaryFFS,TRANSPORTATION,Payer S,321,2018-01-01,5.771441123130016
201801,AncillaryFFS,UNDER,Payer CO,96,2018-01-01,4.564348191467836
201801,AncillaryFFS,URGENT CARE CENTER,Payer B,202,2018-01-01,5.308267697401205
201801,AncillaryFFS,URGENT CARE CENTER,Payer CA,1344,2018-01-01,7.203405521083095
201801,AncillaryFFS,URGENT CARE CENTER,Payer F,1458,2018-01-01,7.284820912568604
201801,AncillaryFFS,URGENT CARE CENTER,Payer O,440,2018-01-01,6.0867747269123065
201801,AncillaryFFS,URGENT CARE CENTER,Payer W,462,2018-01-01,6.135564891081739
201801,AncillaryFFS,URGENT CARE FACILITY,Payer UN,420,2018-01-01,6.040254711277414
201801,AncillaryFFS,URGENT CARE MEDICINE,Payer F,1125,2018-01-01,7.025538314638521
201801,AncillaryFFS,UROLOGY,Payer B,410,2018-01-01,6.016157159698354
201801,AncillaryFFS,UROLOGY,Payer CA,221,2018-01-01,5.3981627015177525
201801,AncillaryFFS,UROLOGY,Payer UN,501,2018-01-01,6.2166061010848646
201801,AncillaryFFS,VASCULAR SURGERY,Payer F,296,2018-01-01,5.69035945432406
201801,AncillaryFFS,VISION,Payer F,6223,2018-01-01,8.736007384569218
201801,AncillaryFFS,VISION,Payer O,3799,2018-01-01,8.242493153187626
201801,AncillaryFFS,WOUND CARE SPECIALISTS,Payer F,342,2018-01-01,5.834810737062605
201801,AncillaryFFS,WOUND CARE SPECIALISTS,Payer O,852,2018-01-01,6.747586526829315
201801,AncillaryFFS,WOUNDCARE,Payer CA,426,2018-01-01,6.054439346269371
201801,ASCServices,ABULATORY SURGICAL CENTER,Payer CO,710,2018-01-01,6.565264970035361
201801,ASCServices,AMBULATORY SURGERY CENTER,Payer B,554,2018-01-01,6.317164686747284
201801,ASCServices,AMBULATORY SURGICAL CENTER,Payer CA,13391,2018-01-01,9.502338118495565
201801,ASCServices,AMBULATORY SURGICAL CENTER,Payer F,10375,2018-01-01,9.247154345098899
201801,ASCServices,AMBULATORY SURGICAL CENTER,Payer O,1482,2018-01-01,7.301147805856032
201801,ASCServices,AMBULATORY SURGICAL CENTER,Payer S,660,2018-01-01,6.492239835020471
201801,ASCServices,AMBULATORY SURGICAL CENTER,Payer W,1319,2018-01-01,7.1846291527173145
201801,ASCServices,AMBULATORY SURGICAL CENTERS,Payer UN,1815,2018-01-01,7.503840746698951
201801,ASCServices,ANES ASSIST,Payer CA,217,2018-01-01,5.37989735354046
201801,ASCServices,ANESTHESIOLOGIST,Payer H,1868,2018-01-01,7.532623618788788
201801,ASCServices,ANESTHESIOLOGY,Payer CA,3751,2018-01-01,8.229777750081887
201801,ASCServices,ANESTHESIOLOGY,Payer CO,353,2018-01-01,5.8664680569332965
201801,ASCServices,ANESTHESIOLOGY,Payer F,6342,2018-01-01,8.754949455098293
201801,ASCServices,ANESTHESIOLOGY,Payer O,1383,2018-01-01,7.232010331664759
201801,ASCServices,ANESTHESIOLOGY,Payer S,826,2018-01-01,6.716594773520978
201801,ASCServices,ANESTHESIOLOGY,Payer UN,2230,2018-01-01,7.709756864454165
201801,ASCServices,ANESTHESIOLOGY,Payer W,528,2018-01-01,6.269096283706261
201801,ASCServices,ARNP,Payer CA,165,2018-01-01,5.10594547390058
201801,ASCServices,ASC,Payer F,40366,2018-01-01,10.605743125460064
201801,ASCServices,ASC,Payer O,10923,2018-01-01,9.298625936843543
201801,ASCServices,CARDIOLOGY,Payer F,207,2018-01-01,5.332718793265369
201801,ASCServices,CARDIOLOGY,Payer O,450,2018-01-01,6.1092475827643655
201801,ASCServices,CARDIOVASCULAR SURGERY,Payer CA,254,2018-01-01,5.537334267018537
